LandLeaf,LandCover,LandCover1,Area,AreaStaples,LandCover2,LandCover3,Area3,LandCover4,LandCover5,LandCover6
CornC4,Cropland,Cropland,Coarse grains,Staples,Cropland - Staples,Cropland - Staples,Corn,Cropland - Staples,Corn,Corn
FiberCrop,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Other crops
FodderGrass,Cropland,Cropland,Fodder crops,Fodder crops,Cropland - Others,Cropland - Others,Fodder crops,Cropland - Others,Other crops,Other crops
FodderHerb,Cropland,Cropland,Fodder crops,Fodder crops,Cropland - Others,Cropland - Others,Fodder crops,Cropland - Others,Other crops,Other crops
Softwood_Forest,Forest,Forest,Forest,Forest,Forest - Managed,Forest - Managed,Forest,Forest - Managed,Forest - Managed,Forest - Managed
Hardwood_Forest,Forest,Forest,Forest,Forest,Forest - Managed,Forest - Managed,Forest,Forest - Managed,Forest - Managed,Forest - Managed
Fruits,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Vege&Fruits
FruitsTree,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Other crops
Grassland,Grassland,GrassShrubland,Grassland,Grassland,Grassland,Other Natural,Grassland,Other Natural,Other Natural,Other Natural
Legumes,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Legumes
MiscCrop,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Other crops
MiscCropTree,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Other crops
NutsSeeds,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Other crops
NutsSeedsTree,Cropland,Cropland,Other crops,NonStaples,Cropland - Others,Cropland - Others,Other crops,Cropland - Others,Other crops,Other crops
OilCrop,Cropland,Cropland,Oil crops,Oil crops,Cropland - Others,Cropland - Others,Oil crops,Cropland - Oil,Other crops,Other crops
OilCropTree,Cropland,Cropland,Oil crops,Oil crops,Cropland - Others,Cropland - Others,Oil crops,Cropland - Oil,Other crops,Other crops
OilPalmTree,Cropland,Cropland,Oil palm,Oil crops,Cropland - Others,Cropland - Others,Oil palm,Cropland - Oil,Other crops,Other crops
OtherArableLand,OtherArableLand,Cropland,Other arable land,Other arable land,Cropland - Others,Cropland - Others,Other arable land,Cropland - Others,Other crops,Other Arable
OtherGrain,Cropland,Cropland,Coarse grains,Staples,Cropland - Staples,Cropland - Staples,Other grains,Cropland - Staples,Other crops,Other grains
OtherGrainC4,Cropland,Cropland,Coarse grains,Staples,Cropland - Staples,Cropland - Staples,Other grains,Cropland - Staples,Other crops,Other grains
